recId,driverId,rmse,error_percent,T,a,b,v0
2,902,16.443071814408356,8.151527375089243,0.5,1.583,5.0,41.667
2,935,13.685611853322456,6.772140484896171,0.5,5.0,5.0,41.667
2,965,57.125830631494075,28.27582135352318,0.5,5.0,5.0,41.667
2,970,3.549413845374675,1.7708403629860463,0.5,1.25,5.0,41.128
2,975,33.97088427894302,16.539631986416993,0.5,5.0,5.0,41.667
2,978,26.445443984030906,13.1515860069124,0.873,5.0,0.545,30.364
2,986,25.786543063670592,13.179570583751362,0.5,0.1,5.0,41.667
2,1003,0.9371373527006865,0.4605174854716905,1.08,0.1,5.0,25.542
2,1004,1.4361895773273794,0.7099561768383759,0.683,0.304,1.18,41.348
2,1026,3.1336693595984126,1.5450762884042903,4.369,3.141,0.162,40.649
2,1044,27.798896151523824,13.788598003809321,5.0,1.423,5.0,36.77
2,1049,4.993451970573927,2.627374731968694,2.278,0.794,1.64,37.98
2,1052,4.999922617894096,2.6527832152931556,0.5,2.49,5.0,41.667
2,1056,25.797502666736076,12.795210485536106,0.5,5.0,5.0,32.193
2,1062,25.19052333983252,12.484167797824913,0.5,2.852,3.414,23.378
2,1094,10.325675951916082,5.060624816685367,4.117,5.0,4.455,41.667
